caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
1454411,1454411_4,qualified,no,,,,,,,,,,
1455762,1455762_4,disqualified,,,,,,,,,,,
1456556,1456556_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,slightly attractive,,,
1457395,1457395_4,disqualified,,,,,,,,,,,
1458801,1458801_4,qualified,no,,,,,,,,,,
1459321,1459321_4,qualified,no,,,,,,,,,,
1461341,1461341_4,qualified,no,,,,,,,,,,
1462605,1462605_4,disqualified,,,,,,,,,,,
1463856,1463856_4,disqualified,,,,,,,,,,,
1464431,1464431_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
1465371,1465371_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1466245,1466245_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1467541,1467541_4,qualified,yes,201304.0,still together,,,5.0,very attractive,very attractive,,,
1468606,1468606_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,slightly attractive,,,no
1469225,1469225_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,no
1470685,1470685_4,disqualified,,,,,,,,,,,
1471753,1471753_4,disqualified,,,,,,,,,,,
1472491,1472491_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
1473421,1473421_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1474566,1474566_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,no
1475711,1475711_4,qualified,no,,,,,,,,,,
1476271,1476271_4,qualified,no,,,,,,,,,,
1477205,1477205_4,qualified,yes,201303.0,still together,2012.0,June,5.0,moderately attractive,moderately attractive,,,yes
1478566,1478566_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,no
1479275,1479275_4,disqualified,,,,,,,,,,,
1480621,1480621_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1482336,1482336_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1483395,1483395_4,disqualified,,,,,,,,,,,
1484521,1484521_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,not at all attractive,,,
1485791,1485791_4,qualified,no,,,,,,,,,,
1486713,1486713_4,disqualified,,,,,,,,,,,
1487565,1487565_4,disqualified,,,,,,,,,,,
1488486,1488486_4,qualified,no,,,,,,,,,,
1489295,1489295_4,disqualified,,,,,,,,,,,
1490563,1490563_4,disqualified,,,,,,,,,,,
1491391,1491391_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1492642,1492642_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1493501,1493501_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1494381,1494381_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1495643,1495643_4,disqualified,,,,,,,,,,,
1496621,1496621_4,qualified,no,,,,,,,,,,
1497641,1497641_4,qualified,yes,201303.0,still together,,,5.0,not at all attractive,moderately attractive,,,
1498471,1498471_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1499563,1499563_4,disqualified,,,,,,,,,,,
1500551,1500551_4,qualified,no,,,,,,,,,,
1502575,1502575_4,disqualified,,,,,,,,,,,
1504675,1504675_4,disqualified,,,,,,,,,,,
1505246,1505246_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,slightly attractive,,,no
1506761,1506761_4,qualified,no,,,,,,,,,,
1507475,1507475_4,disqualified,,,,,,,,,,,
1509726,1509726_4,disqualified,,,,,,,,,,,
1511571,1511571_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,
1512761,1512761_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1513511,1513511_4,qualified,no,,,,,,,,,,
1514561,1514561_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1515601,1515601_4,qualified,no,,,,,,,,,,
1516441,1516441_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1517771,1517771_4,qualified,no,,,,,,,,,,
1518501,1518501_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1519266,1519266_4,disqualified,,,,,,,,,,,
1520271,1520271_4,qualified,no,,,,,,,,,,
1521461,1521461_4,qualified,yes,201303.0,still together,,,3.0,slightly attractive,slightly attractive,,,
1522341,1522341_4,qualified,yes,201305.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1523526,1523526_4,qualified,yes,201305.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1524351,1524351_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1525665,1525665_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1527295,1527295_4,qualified,no,,,,,,,,,,
1528583,1528583_4,disqualified,,,,,,,,,,,
1529205,1529205_4,disqualified,,,,,,,,,,,
1530311,1530311_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1531821,1531821_4,qualified,no,,,,,,,,,,
1532631,1532631_4,qualified,yes,201303.0,still together,,,3.0,slightly attractive,slightly attractive,,,
1534361,1534361_4,qualified,no,,,,,,,,,,
1535765,1535765_4,disqualified,,,,,,,,,,,
1536831,1536831_4,qualified,no,,,,,,,,,,
1537541,1537541_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1538731,1538731_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1539225,1539225_4,disqualified,,,,,,,,,,,
1540693,1540693_4,qualified,yes,201311.0,broke up,,,,moderately attractive,,2013.0,September,
1541384,1541384_4,qualified,yes,201304.0,still together,,,5.0,very attractive,slightly attractive,,,no
1542395,1542395_4,disqualified,,,,,,,,,,,
1544581,1544581_4,qualified,no,,,,,,,,,,
1545735,1545735_4,disqualified,,,,,,,,,,,
1546505,1546505_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,no
1547271,1547271_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1548763,1548763_4,disqualified,,,,,,,,,,,
1549701,1549701_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1550851,1550851_4,qualified,no,,,,,,,,,,
1551231,1551231_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,February,
1552386,1552386_4,disqualified,,,,,,,,,,,
1553205,1553205_4,disqualified,,,,,,,,,,,
1554466,1554466_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1555195,1555195_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1556205,1556205_4,disqualified,,,,,,,,,,,
1557565,1557565_4,disqualified,,,,,,,,,,,
1558251,1558251_4,qualified,no,,,,,,,,,,
1559571,1559571_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,slightly attractive,,,
1560702,1560702_4,disqualified,,,,,,,,,,,
1563713,1563713_4,qualified,no,,,,,,,,,,
1564453,1564453_4,disqualified,,,,,,,,,,,
1565636,1565636_4,qualified,yes,201304.0,still together,2011.0,November,4.0,moderately attractive,very attractive,,,yes
1567444,1567444_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,no
1568251,1568251_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1569351,1569351_4,qualified,no,,,,,,,,,,
1570286,1570286_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,very attractive,,,
1571463,1571463_4,disqualified,,,,,,,,,,,
1572443,1572443_4,disqualified,,,,,,,,,,,
1573641,1573641_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,not at all attractive,,,
1574481,1574481_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1575691,1575691_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1576255,1576255_4,disqualified,,,,,,,,,,,
1577546,1577546_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,no
1578603,1578603_4,disqualified,,,,,,,,,,,
1579693,1579693_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1580691,1580691_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1581206,1581206_4,disqualified,,,,,,,,,,,
1582653,1582653_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1584491,1584491_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1585543,1585543_4,qualified,no,,,,,,,,,,
1586641,1586641_4,qualified,no,,,,,,,,,,
1587316,1587316_4,qualified,no,,,,,,,,,,
1588416,1588416_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,no
1589361,1589361_4,qualified,no,,,,,,,,,,
1590491,1590491_4,qualified,yes,201304.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1591601,1591601_4,qualified,yes,201311.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1592631,1592631_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1593301,1593301_4,qualified,no,,,,,,,,,,
1594842,1594842_4,disqualified,,,,,,,,,,,
1595371,1595371_4,qualified,no,,,,,,,,,,
1597546,1597546_4,qualified,no,,,,,,,,,,
1599291,1599291_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1600711,1600711_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1601511,1601511_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1602401,1602401_4,disqualified,,,,,,,,,,,
