caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
2932541,2932541_6,qualified,yes,201707,still together,,,,,
2934316,2934316_6,qualified,yes,201707,broke up,,,2017.0,March,
2965291,2965291_6,qualified,yes,201707,still together,,,,,
2972195,2972195_6,qualified,yes,201707,still together,,,,,
2982581,2982581_6,qualified,yes,201707,still together,,,,,
2984311,2984311_6,qualified,yes,201707,still together,,,,,
3026461,3026461_6,qualified,yes,201707,still together,,,,,
3027506,3027506_6,qualified,yes,201707,still together,,,,,no
3028411,3028411_6,qualified,yes,201707,still together,,,,,
3038731,3038731_6,qualified,yes,201708,still together,,,,,
3072336,3072336_6,qualified,yes,201707,still together,,,,,no
3097321,3097321_6,qualified,yes,201707,still together,,,,,
3119215,3119215_6,qualified,yes,201707,broke up,,,2015.0,March,
3126421,3126421_6,qualified,yes,201708,still together,,,,,
3132476,3132476_6,qualified,yes,201707,still together,2015.0,July,,,yes
3140275,3140275_6,qualified,yes,201707,still together,,,,,
3141525,3141525_6,qualified,yes,201707,still together,,,,,no
